Metadata_JCP2022,Metadata_NCBI_Gene_ID,Metadata_Symbol
JCP2022_800001,,no-guide
JCP2022_800002,,non-targeting
JCP2022_800003,2,A2M
JCP2022_800004,127550,A3GALT2
JCP2022_800005,53947,A4GALT
JCP2022_800006,51146,A4GNT
JCP2022_800007,65985,AACS
JCP2022_800008,13,AADAC
JCP2022_800009,51166,AADAT
JCP2022_800010,22848,AAK1
JCP2022_800011,15,AANAT
JCP2022_800012,16,AARS
JCP2022_800013,80755,AARSD1
JCP2022_800014,132949,AASDH
JCP2022_800015,60496,AASDHPPT
JCP2022_800016,10157,AASS
JCP2022_800017,26574,AATF
JCP2022_800018,9625,AATK
JCP2022_800019,18,ABAT
JCP2022_800020,19,ABCA1
JCP2022_800021,10349,ABCA10
JCP2022_800022,26154,ABCA12
JCP2022_800023,154664,ABCA13
JCP2022_800024,20,ABCA2
JCP2022_800025,21,ABCA3
JCP2022_800026,23461,ABCA5
JCP2022_800027,23460,ABCA6
JCP2022_800028,10347,ABCA7
JCP2022_800029,10351,ABCA8
JCP2022_800030,10350,ABCA9
JCP2022_800031,5243,ABCB1
JCP2022_800032,23456,ABCB10
JCP2022_800033,8647,ABCB11
JCP2022_800034,5244,ABCB4
JCP2022_800035,340273,ABCB5
JCP2022_800036,10058,ABCB6
JCP2022_800037,22,ABCB7
JCP2022_800038,11194,ABCB8
JCP2022_800039,23457,ABCB9
JCP2022_800040,4363,ABCC1
JCP2022_800041,89845,ABCC10
JCP2022_800042,85320,ABCC11
JCP2022_800043,94160,ABCC12
JCP2022_800044,1244,ABCC2
JCP2022_800045,8714,ABCC3
JCP2022_800046,10257,ABCC4
JCP2022_800047,10057,ABCC5
JCP2022_800048,368,ABCC6
JCP2022_800049,6833,ABCC8
JCP2022_800050,215,ABCD1
JCP2022_800051,225,ABCD2
JCP2022_800052,5825,ABCD3
JCP2022_800053,5826,ABCD4
JCP2022_800054,6059,ABCE1
JCP2022_800055,23,ABCF1
JCP2022_800056,10061,ABCF2
JCP2022_800057,55324,ABCF3
JCP2022_800058,9619,ABCG1
JCP2022_800059,9429,ABCG2
JCP2022_800060,64137,ABCG4
JCP2022_800061,64240,ABCG5
JCP2022_800062,64241,ABCG8
JCP2022_800063,84696,ABHD1
JCP2022_800064,55347,ABHD10
JCP2022_800065,83451,ABHD11
JCP2022_800066,26090,ABHD12
JCP2022_800067,145447,ABHD12B
JCP2022_800068,84945,ABHD13
JCP2022_800069,25864,ABHD14A
JCP2022_800070,84836,ABHD14B
JCP2022_800071,7920,ABHD16A
JCP2022_800072,140701,ABHD16B
JCP2022_800073,81926,ABHD17A
JCP2022_800074,51104,ABHD17B
JCP2022_800075,58489,ABHD17C
JCP2022_800076,11057,ABHD2
JCP2022_800077,171586,ABHD3
JCP2022_800078,63874,ABHD4
JCP2022_800079,51099,ABHD5
JCP2022_800080,57406,ABHD6
JCP2022_800081,79575,ABHD8
JCP2022_800082,25,ABL1
JCP2022_800083,27,ABL2
JCP2022_800084,28,ABO
JCP2022_800085,29777,ABT1
