name,ensembl_id,description,biotype,species,external_url
A1BG,ENSG00000121410,alpha-1-B glycoprotein [Source:HGNC Symbol;Acc:HGNC:5],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000121410
A1CF,ENSG00000148584,APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000148584
A2M,ENSG00000175899,alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000175899
A4GALT,ENSG00000128274,"alpha 1,4-galactosyltransferase (P1PK blood group) [Source:HGNC Symbol;Acc:HGNC:18149]",protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000128274
A4GNT,ENSG00000118017,"alpha-1,4-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:17968]",protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000118017
AAAS,ENSG00000094914,aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000094914
AADAC,ENSG00000114771,arylacetamide deacetylase [Source:HGNC Symbol;Acc:HGNC:17],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000114771
AADAT,ENSG00000109576,aminoadipate aminotransferase [Source:HGNC Symbol;Acc:HGNC:17929],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000109576
AAGAB,ENSG00000103591,alpha and gamma adaptin binding protein [Source:HGNC Symbol;Acc:HGNC:25662],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000103591
AAK1,ENSG00000115977,AP2 associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:19679],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000115977
AAMDC,ENSG00000087884,adipogenesis associated Mth938 domain containing [Source:HGNC Symbol;Acc:HGNC:30205],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000087884
AAMP,ENSG00000127837,angio associated migratory cell protein [Source:HGNC Symbol;Acc:HGNC:18],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000127837
AANAT,ENSG00000129673,aralkylamine N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:19],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000129673
AAR2,ENSG00000131043,AAR2 splicing factor [Source:HGNC Symbol;Acc:HGNC:15886],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000131043
AASDH,ENSG00000157426,aminoadipate-semialdehyde dehydrogenase [Source:HGNC Symbol;Acc:HGNC:23993],protein_coding,homo_sapiens,https://www.ensembl.org/id/ENSG00000157426
