Metadata_JCP2022,Metadata_broad_sample,Metadata_Name,Metadata_Vector,Metadata_Transcript,l,Metadata_NCBI_Gene_ID,Metadata_Taxon_ID,Metadata_Gene_Description,Metadata_Prot_Match,Metadata_Insert_Length,Metadata_pert_type
JCP2022_900002,ccsbBroad304_00001,ORF008415.1_TRC304.1,pLX_304,NM_001160173.3,NAT1,9,9606,N-acetyltransferase 1,100,870,trt
JCP2022_900003,ccsbBroad304_00002,ORF005388.1_TRC304.1,pLX_304,NM_001088.3,AANAT,15,9606,aralkylamine N-acetyltransferase,100,621,trt
JCP2022_900004,ccsbBroad304_00003,ORF003876.1_TRC304.1,pLX_304,NM_000663.4,ABAT,18,9606,4-aminobutyrate aminotransferase,100,1500,trt
JCP2022_900005,ccsbBroad304_00007,ORF004679.1_TRC304.1,pLX_304,NM_000018.4,ACADVL,37,9606,acyl-CoA dehydrogenase very long chain,100,1965,trt
JCP2022_900006,ccsbBroad304_00008,ORF000425.1_TRC304.1,pLX_304,NM_001095.4,ASIC1,41,9606,acid sensing ion channel subunit 1,100,1584,trt
JCP2022_900007,ccsbBroad304_00009,ORF009407.1_TRC304.1,pLX_304,NM_001096.3,ACLY,47,9606,ATP citrate lyase,100,3303,trt
JCP2022_900008,ccsbBroad304_00010,ORF011294.1_TRC304.1,pLX_304,NM_001278352.1,ACO1,48,9606,aconitase 1,100,2667,trt
JCP2022_900009,ccsbBroad304_00011,ORF000906.1_TRC304.1,pLX_304,NM_007099.3,ACP1,52,9606,acid phosphatase 1,100,474,trt
JCP2022_900010,ccsbBroad304_00012,ORF007339.1_TRC304.1,pLX_304,NM_001111035.3,ACP5,54,9606,"acid phosphatase 5, tartrate resistant",100,975,trt
JCP2022_900011,ccsbBroad304_00013,ORF009063.1_TRC304.1,pLX_304,NM_001612.6,ACRV1,56,9606,acrosomal vesicle protein 1,100,795,trt
JCP2022_900012,ccsbBroad304_00014,ORF010688.1_TRC304.1,pLX_304,NM_001320855.1,ACTA2,59,9606,"actin alpha 2, smooth muscle",100,1131,trt
JCP2022_900013,ccsbBroad304_00015,ORF006671.1_TRC304.1,pLX_304,NM_005159.5,ACTC1,70,9606,actin alpha cardiac muscle 1,100,1131,trt
JCP2022_900014,ccsbBroad304_00016,ORF005733.1_TRC304.1,pLX_304,NM_004924.6,ACTN4,81,9606,actinin alpha 4,100,2733,trt
JCP2022_900015,ccsbBroad304_00017,ORF008777.1_TRC304.1,pLX_304,NM_001103.3,ACTN2,88,9606,actinin alpha 2,100,2682,trt
JCP2022_900016,ccsbBroad304_00018,ORF015922.1_TRC304.1,pLX_304,NM_004302.5,ACVR1B,91,9606,activin A receptor type 1B,100,1515,trt
JCP2022_900017,ccsbBroad304_00019,ORF002807.1_TRC304.1,pLX_304,NM_000020.3,ACVRL1,94,9606,activin A receptor like type 1,100,1509,trt
JCP2022_900018,ccsbBroad304_00020,ORF013962.1_TRC304.1,pLX_304,NM_001198895.2,ACY1,95,9606,aminoacylase 1,100,1224,trt
JCP2022_900019,ccsbBroad304_00021,ORF008874.1_TRC304.1,pLX_304,NM_001302616.2,ACYP1,97,9606,acylphosphatase 1,100,297,trt
JCP2022_900020,ccsbBroad304_00022,ORF009676.1_TRC304.1,pLX_304,NM_138448.4,ACYP2,98,9606,acylphosphatase 2,100,297,trt
JCP2022_900021,ccsbBroad304_00023,ORF000592.1_TRC304.1,pLX_304,NM_000022.4,ADA,100,9606,adenosine deaminase,100,1089,trt
JCP2022_900022,ccsbBroad304_00024,ORF001035.1_TRC304.1,pLX_304,NM_004036.5,ADCY3,109,9606,adenylate cyclase 3,100,3432,trt
JCP2022_900023,ccsbBroad304_00025,ORF016080.1_TRC304.1,pLX_304,NM_001099733.2,ADCYAP1,116,9606,adenylate cyclase activating polypeptide 1,100,528,trt
JCP2022_900024,ccsbBroad304_00027,ORF017530.1_TRC304.1,pLX_304,NM_000667.4,ADH1A,124,9606,"alcohol dehydrogenase 1A (class I), alpha polypeptide",100,1125,trt
JCP2022_900025,ccsbBroad304_00028,ORF015756.1_TRC304.1,pLX_304,NM_000671.4,ADH5,128,9606,"alcohol dehydrogenase 5 (class III), chi polypeptide",100,1122,trt
JCP2022_900026,ccsbBroad304_00029,ORF013996.1_TRC304.1,pLX_304,NM_000673.4,ADH7,131,9606,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",100,1158,trt
JCP2022_900027,ccsbBroad304_00030,ORF009477.1_TRC304.1,pLX_304,NM_000676.2,ADORA2B,136,9606,adenosine A2b receptor,100,996,trt
JCP2022_900028,ccsbBroad304_00032,ORF005631.1_TRC304.1,pLX_304,NM_000026.4,ADSL,158,9606,adenylosuccinate lyase,100,1452,trt
JCP2022_900029,ccsbBroad304_00033,ORF015294.1_TRC304.1,pLX_304,NM_001126.5,ADSS2,159,9606,adenylosuccinate synthase 2,100,1368,trt
JCP2022_900030,ccsbBroad304_00034,ORF014494.1_TRC304.1,pLX_304,NM_198969.1,TLE5,166,9606,"TLE family member 5, transcriptional modulator",100,792,trt
JCP2022_900031,ccsbBroad304_00035,ORF008140.1_TRC304.1,pLX_304,NM_001133.2,AFM,173,9606,afamin,100,1797,trt
JCP2022_900032,ccsbBroad304_00036,ORF001833.1_TRC304.1,pLX_304,NM_001134.3,AFP,174,9606,alpha fetoprotein,100,1827,trt
JCP2022_900033,ccsbBroad304_00037,ORF015627.1_TRC304.1,pLX_304,NM_001136.5,AGER,177,9606,advanced glycosylation end-product specific receptor,100,1212,trt
JCP2022_900034,ccsbBroad304_00038,ORF001874.1_TRC304.1,pLX_304,NM_000643.2,AGL,178,9606,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",100,4596,trt
JCP2022_900035,ccsbBroad304_00040,ORF010796.1_TRC304.1,pLX_304,NM_005161.4,APLNR,187,9606,apelin receptor,100,1140,trt
JCP2022_900036,ccsbBroad304_00041,ORF006540.1_TRC304.1,pLX_304,NM_000475.5,NR0B1,190,9606,nuclear receptor subfamily 0 group B member 1,100,1410,trt
JCP2022_900037,ccsbBroad304_00043,ORF004804.1_TRC304.1,pLX_304,NM_001623.5,AIF1,199,9606,allograft inflammatory factor 1,100,441,trt
JCP2022_900038,ccsbBroad304_00044,ORF003852.1_TRC304.1,pLX_304,NM_001625.4,AK2,204,9606,adenylate kinase 2,100,717,trt
JCP2022_900039,ccsbBroad304_00045,ORF007461.1_TRC304.1,pLX_304,NM_001005353.2,AK4,205,9606,adenylate kinase 4,100,669,trt
JCP2022_900040,ccsbBroad304_00046,ORF017112.1_TRC304.1,pLX_304,BC000479.2,AKT1,207,9606,NA,,1384,trt
JCP2022_900041,ccsbBroad304_00047,ORF007322.1_TRC304.1,pLX_304,NM_001626.6,AKT2,208,9606,AKT serine/threonine kinase 2,58.7,1450,trt
JCP2022_900042,ccsbBroad304_00048,ORF013147.1_TRC304.1,pLX_304,NM_000689.5,ALDH1A1,216,9606,aldehyde dehydrogenase 1 family member A1,100,1503,trt
JCP2022_900043,ccsbBroad304_00049,ORF012745.1_TRC304.1,pLX_304,NM_000690.4,ALDH2,217,9606,aldehyde dehydrogenase 2 family member,100,1551,trt
JCP2022_900044,ccsbBroad304_00050,ORF000219.1_TRC304.1,pLX_304,NM_000694.4,ALDH3B1,221,9606,aldehyde dehydrogenase 3 family member B1,100,1404,trt
JCP2022_900045,ccsbBroad304_00051,ORF005099.1_TRC304.1,pLX_304,NM_001030010.3,ALDH3B1,221,9606,aldehyde dehydrogenase 3 family member B1,100,1293,trt
JCP2022_900046,ccsbBroad304_00052,ORF012150.1_TRC304.1,pLX_304,NM_001369137.1,ALDH3A2,224,9606,aldehyde dehydrogenase 3 family member A2,100,1524,trt
JCP2022_900047,ccsbBroad304_00053,ORF005974.1_TRC304.1,pLX_304,NM_184043.2,ALDOA,226,9606,"aldolase, fructose-bisphosphate A",100,1092,trt
JCP2022_900048,ccsbBroad304_00054,ORF007739.1_TRC304.1,pLX_304,NM_005165.3,ALDOC,230,9606,"aldolase, fructose-bisphosphate C",100,1092,trt
JCP2022_900049,ccsbBroad304_00055,ORF014476.1_TRC304.1,pLX_304,NM_001628.4,AKR1B1,231,9606,aldo-keto reductase family 1 member B,100,948,trt
JCP2022_900050,ccsbBroad304_00056,ORF000368.1_TRC304.1,pLX_304,NM_000698.5,ALOX5,240,9606,arachidonate 5-lipoxygenase,100,2022,trt
JCP2022_900051,ccsbBroad304_00057,ORF008478.1_TRC304.1,pLX_304,NM_001139.3,ALOX12B,242,9606,"arachidonate 12-lipoxygenase, 12R type",100,2103,trt
JCP2022_900052,ccsbBroad304_00058,ORF009281.1_TRC304.1,pLX_304,NM_001631.5,ALPI,248,9606,"alkaline phosphatase, intestinal",100,1584,trt
JCP2022_900053,ccsbBroad304_00059,ORF017635.1_TRC304.1,pLX_304,NM_006492.3,ALX3,257,9606,ALX homeobox 3,100,1029,trt
JCP2022_900054,ccsbBroad304_00060,ORF013533.1_TRC304.1,pLX_304,NM_001633.4,AMBP,259,9606,alpha-1-microglobulin/bikunin precursor,100,1056,trt
JCP2022_900055,ccsbBroad304_00061,ORF006040.1_TRC304.1,pLX_304,NM_001143.1,AMELY,266,9606,amelogenin Y-linked,100,576,trt
